性别: 男, 年龄: 23, 编号: 1, 学号: 2
性别: 女, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
index: 1, useTime: 941, type: 1104, correct: True
index: 2, useTime: 783, type: 1012, correct: False
index: 3, useTime: 652, type: 0114, correct: False
index: 4, useTime: 748, type: 0003, correct: True
####################分隔线####################


性别: 男, 年龄: 1, 编号: 2, 学号: 3
index: 1, useTime: 1060, type: 0103, correct: True
index: 2, useTime: 678, type: 0104, correct: True
index: 3, useTime: 957, type: 0104, correct: True
index: 4, useTime: 962, type: 0103, correct: True
####################分隔线####################


性别: 男, 年龄: 1, 编号: 2, 学号: 3
index: 1, useTime: 581, type: 0004, correct: True
index: 2, useTime: 792, type: 1012, correct: False
index: 3, useTime: 781, type: 1114, correct: False
index: 4, useTime: 631, type: 0104, correct: True
####################分隔线####################


性别: 男, 年龄: 31441, 编号: 13, 学号: 232
index: 1, useTime: 546, type: 0102, correct: True
index: 2, useTime: 1069, type: 1001, correct: True
index: 3, useTime: 685, type: 0013, correct: False
index: 4, useTime: 1601, type: 1111, correct: False
####################分隔线####################


性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
index: 1, useTime: 1467, type: 0103, correct: True
index: 2, useTime: , type: 1012, correct: 
index: 3, useTime: 559, type: 0001, correct: True
index: 4, useTime: , type: 1113, correct: 
####################分隔线####################


性别: 男, 年龄: 2, 编号: 3, 学号: 4
index: 1, useTime: 0, type: 1101, correct: False
index: 2, useTime: 1517, type: 1014, correct: False
index: 3, useTime: 0, type: 0001, correct: False
index: 4, useTime: 728, type: 0112, correct: False
####################分隔线####################


性别: 男, 年龄: 3, 编号: 4, 学号: 5
index: 1, useTime: null, type: 1004, correct: null
index: 2, useTime: 1404, type: 0111, correct: False
index: 3, useTime: null, type: 0011, correct: null
index: 4, useTime: 763, type: 1104, correct: True
####################分隔线####################


性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 241, 编号: 1, 学号: 2
性别: 男, 年龄: 14, 编号: 1, 学号: 2
性别: 男, 年龄: 2, 编号: 3, 学号: 1
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 5, 编号: 6, 学号: 7
性别: 男, 年龄: 1, 编号: 2, 学号: 3
index: 1, useTime: 637, type: 1012, correct: False
index: 2, useTime: null, type: 0102, correct: null
index: 3, useTime: null, type: 0003, correct: null
index: 4, useTime: null, type: 1112, correct: null
####################分隔线####################


性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 2, 编号: 3, 学号: 4
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
index: 1, useTime: 966, type: 1111, correct: False
index: 2, useTime: 941, type: 1101, correct: True
index: 3, useTime: 502, type: 0013, correct: False
index: 4, useTime: null, type: 0002, correct: null
####################分隔线####################


性别: 男, 年龄: 1, 编号: 2, 学号: 3
index: 1, useTime: 1976, type: 1001, correct: True
index: 2, useTime: 559, type: 1104, correct: True
index: 3, useTime: null, type: 0013, correct: null
index: 4, useTime: 1857, type: 0113, correct: False
####################分隔线####################


性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 1, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
index: 1, useTime: 936, type: 1001, correct: True
index: 2, useTime: 1199, type: 0011, correct: False
index: 3, useTime: 464, type: 1114, correct: False
index: 4, useTime: 448, type: 0101, correct: True
####################分隔线####################


性别: 男, 年龄: 6, 编号: 7, 学号: 8
性别: 男, 年龄: 1, 编号: 2, 学号: 3
性别: 男, 年龄: 1, 编号: 2, 学号: 3
index: 1, useTime: 1116, type: 0113, correct: True
index: 2, useTime: 1107, type: 0012, correct: True
index: 3, useTime: 765, type: 1112, correct: True
index: 4, useTime: 907, type: 0101, correct: True
index: 5, useTime: 1232, type: 0112, correct: True
index: 6, useTime: 1300, type: 1112, correct: True
